date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:52	126428/126428	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221eddc-5af06c61409cb%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.eot?	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400d41d.eot	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:06:52	18112/18112	---M--	200	added ('OK')	application/font-woff	etag:%2246c0-5af06c5f4e90f%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.woff	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.woff	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:06:53	40232/40232	---M--	200	added ('OK')	application/font-sfnt	etag:%229d28-5af06c633f5a6%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.ttf	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.ttf	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:06:54	73852/73852	---M--	200	added ('OK')	text/html	etag:%221207c-5af06c641d084%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.woff2	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.html	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:06:55	140249/140249	---M--	200	added ('OK')	image/svg+xml	etag:%22223d9-5af06c5e558b1%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.svg	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.svg	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:06:55	95436/95436	---M--	200	added ('OK')	application/font-woff	etag:%22174cc-5af06c623f7e8%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.woff	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.woff	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:06:58	197172/197172	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2230234-5af06c5ce7555%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.eot	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.eot	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:06:58	196952/196952	---M--	200	added ('OK')	application/font-sfnt	etag:%2230158-5af06c5aadffa%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.ttf	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.ttf	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:06:58	197172/197172	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2230234-5af06c5ce7555%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.eot?	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900d41d.eot	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:06:59	54266/54266	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22d3fa-5af06c222c35f%22	https://jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Icons.eot?v=2.4.0	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Iconsb26c.eot	(from https://jthemes.net/themes/html/bolby/demo/css/simple-line-icons.css)
22:07:00	30064/30064	---M--	200	added ('OK')	text/html	etag:%227570-5af06c24435da%22	https://jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Icons.woff2?v=2.4.0	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Iconsb26c.html	(from https://jthemes.net/themes/html/bolby/demo/css/simple-line-icons.css)
22:07:00	54056/54056	---M--	200	added ('OK')	application/font-sfnt	etag:%22d328-5af06c234575c%22	https://jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Icons.ttf?v=2.4.0	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Iconsb26c.ttf	(from https://jthemes.net/themes/html/bolby/demo/css/simple-line-icons.css)
22:07:00	81332/81332	---M--	200	added ('OK')	application/font-woff	etag:%2213db4-5af06c2137181%22	https://jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Icons.woff?v=2.4.0	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Iconsb26c.woff	(from https://jthemes.net/themes/html/bolby/demo/css/simple-line-icons.css)
22:07:01	746673/746673	---M--	200	added ('OK')	image/svg+xml	etag:%22b64b1-5af06c6328e46%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.svg	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-solid-900.svg	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:07:01	239045/239045	---M--	200	added ('OK')	image/svg+xml	etag:%223a5c5-5af06c203a2a3%22	https://jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Icons.svg?v=2.4.0	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/fonts/Simple-Line-Iconsb26c.svg	(from https://jthemes.net/themes/html/bolby/demo/css/simple-line-icons.css)
